show_id,imdb_title_id,title,genre,duration_imdb,director,actors,release_year,rating,description_net,description_imdb,country_imdb,language,date_added,avg_vote,votes
80243600,tt9398640,Between Two Ferns: The Movie,Comedy,82,Scott Aukerman,"Zach Galifianakis, Matthew McConaughey, Rekha Shankar, Olivia Mekdara, Mo Zelof, Gabriel Gundacker, Phil Hendrie, Mary Scheer, Mike Ivy, Matt Besser, Mary Holland, Najla Samad, Michelle Munoz, Lauren Ashley Smith, Bruce Willis",2019,TV-MA,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,USA,English,2019-09-20,6.1,18722
80203776,tt4911780,Bitcoin Heist,Action,110,Ham Tran,"Kate Nhung, Thanh Pham, Petey Majik Nguyen, Suboi, Jayvee Mai The Hiep, Lam Thanh My, Van Veronica Ngo, Teo Yoo",2016,TV-14,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""","To catch the world's most wanted thief, an Interpol agent assembles a team of elite hackers to plan the ultimate crypto-currency heist.",Vietnam,"Vietnamese, English, German",2017-09-02,5.8,303
80161931,tt3704298,Vincent N Roxxy,"Crime, Drama, Thriller",102,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Kid Cudi, Beau Knapp, Jason Mitchell, Jeff Gum, Kim Collins, Dominic 'Taz' Alexander, Jared Bankens, Sheldon Frett, Joey Bicicchi, Lance Tafelski, Hunter Burke",2016,R,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,USA,English,2017-09-02,5.5,1662
80017275,tt2667960,Miss Julie,"Drama, Romance",129,Liv Ullmann,"Jessica Chastain, Samantha Morton, Colin Farrell, Nora McMenamy",2014,PG-13,"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.","Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.","Norway, UK, France, Ireland",English,2015-09-02,5.4,4719
81107545,tt8983202,Kabir Singh,"Drama, Romance",173,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Soham Majumdar, Arjan Bajwa, Suresh Oberoi, Kamini Kaushal, Adil Hussain, Nikita Dutta, Amit Sharma, Anurag Arora, Dolly Mattoo, Aanchal Chauhan, Suparna Marwah, Swati Seth, Anusha Sampath",2019,TV-MA,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.","Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017), where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",India,Hindi,2019-09-19,7.2,20733
80190449,tt3986820,The Endless,"Fantasy, Horror, Sci-Fi",111,"Justin Benson, Aaron Moorhead","Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington, Shane Brady, Lew Temple, Kira Powell, David Lawson Jr., James Jordan, Emily Montague, Peter Cilella, Vinny Curran, Ric Sarabia, Catherine Lawson, Josh Higgins",2017,TV-MA,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.","As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",USA,English,2018-09-19,6.5,24816
80149143,tt2597768,Come and Find Me,"Drama, Thriller",112,Zack Whedon,"Annabelle Wallis, Aaron Paul, Garret Dillahunt, Chris Chalk, Zachary Knighton, Terry Chen, Enver Gjokaj, Valerie Tian, Jordana Largy, Michael Kopsa, Jessica Heafey, Dean Redman, Artine Tony Browne, Corey Schmitt, Tim Perez",2016,R,"When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption.","When his girlfriend goes missing, David must track down her whereabouts after he realizes she's not who she was pretending to be.","Canada, USA, UK",English,2019-09-18,5.7,7217
80991316,tt8836988,Avengement,"Action, Crime, Thriller",90,Jesse V. Johnson,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Leo Gregory, Beau Fowler, Louis Mandylor, Terence Maynard, Ross O'Hennessy, Daniel Adegboyega, Mark Strange, Jane Thorne, Luke LaFontaine, Greg Burridge",2019,TV-MA,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer.","After years of assaults on him in prison, Cain escapes for avengement on those responsible.",UK,English,2019-09-17,6.5,6125
80058248,tt3212232,I Am Wrath,"Action, Crime, Drama",92,Chuck Russell,"John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell, Patrick St. Esprit, Rebecca De Mornay, Asante Jones, Paul Sloan, Luis Da Silva Jr., Jordan Whalen, Jayden Blake Cochran, Caroline Kane, Robert Forte Shannon III, Stacy Levi, James Logan",2016,R,"Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians.",A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,USA,English,2019-09-16,5.4,11915
70307661,tt2870612,"As Above, So Below","Horror, Mystery, Thriller",93,John Erick Dowdle,"Perdita Weeks, Ben Feldman, Edwin Hodge, François Civil, Marion Lambert, Ali Marhyar, Cosme Castro, Hamid Djavadan, Théo Cholbi, Emy Lévy, Roger Van Hool, Olivia Csiky Trnka, Hellyette Bess, Aryan Rahimian, Samuel Aouizerate",2014,R,A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.,"When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",USA,"English, French, Latin",2018-09-16,6.2,69361
70117312,tt0446029,Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",112,Edgar Wright,"Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill, Aubrey Plaza, Mary Elizabeth Winstead, Jason Schwartzman, Johnny Simmons, Mark Webber, Ellen Wong, Satya Bhabha, Will Bowes, Celine Lepage, Keita Saitou, Mark Leroy",2010,PG-13,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"USA, UK, Canada, Japan",English,2018-09-16,7.5,347781
80092885,tt5640450,ARQ,"Action, Sci-Fi, Thriller",88,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal, Nicolas Van Burek, Jamie Spilchuk",2016,TV-MA,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.","Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.","Canada, USA",English,2016-09-16,6.4,30486
81131761,tt10303892,The Outsider,Western,86,Timothy Woodward Jr.,"Jon Foo, Trace Adkins, Sean Patrick Flanery, Kaiwi Lyman, Danny Trejo, Mitchell L. Johnson, Philip V. Bruenn, Nellie LeeYa, Alan Donnes, Peter Sherayko, Melissa Phebe Baxter, Cara Fay, Hunter Paul, Annie Tezuki, Layne Herrin",2019,TV-MA,A frontier sheriff tries to protect his sadistic son from a Chinese railroad worker hellbent on revenge.,"In search of a better life, a railroad worker (Foo) finds himself on the wrong side of a group of corrupt lawmen. As the Marshal (Adkins) attempts to control his town, tragedy strikes forcing him to decide between justice and family.",USA,English,2019-09-15,5.7,1171
81018233,tt7477108,Eeda,"Drama, Romance",152,Ajithkumar,"Shane Nigam, Nimisha Sajayan, Manikandan R. Achari, Alencier Ley Lopez, Sujith Sankar, P. Balachandran, Sudhi Koppa, Babu Annur, Surabhi Lakshmi, Shelly Kishore, Sunitha, Rajesh Sharma, Abu Valayamkulam, Vijayakumari, Ajitha Calicut",2018,TV-14,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.,Anand and Aiswarya who hail from nearby villages in North Malabar. A chance meeting in their native place develops into a passionate affair in Mysore. But their lives suddenly become intertwined in a series of violent events.,India,Malayalam,2018-09-15,7.3,363
